C0021270,baby
C0009932,control
C0011209,delivery
C0723446,awake stay
C4534364,undecided
C0282411,comments
C0769494,shitei
C1417022,stop
C0549255,excited
C1446409,positive
C0004048,breathing
C0542399,waiting
C0441987,side
C0013987,emotional
C3827420,wrong
C0439849,relationship
C0870909,money
C0018379,guilty
C0035953,running
C0026131,milk
C0234233,sore
C0040364,bathroom
C0035651,risk taking
C0038435,stress
C0564405,relief
C0680968,spend
C0086881,root canal
C0310370,tomorrow
C0035253,rest
C0004381,car
C0332185,recently
C0439064,multiple
C0680190,weekend
C0441889,degree
C0870221,boy
C0025344,period
C0019080,bleeding
C0682323,partner
C0442696,wake
C0392674,exhausted
C4049642,making bed
C2827363,daycare
C3641946,dad
C0679210,literal
C4086990,absolutely sure
C1444637,past
C1547707,story
C0204695,feeding
C0027424,stuffy nose
C3669434,starting pig
C1318963,readiness
C0439751,entire
C0037709,sounds
C0024841,married
C4520849,living
C0424522,asleep
C0332257,including
C0564032,makes bed
C4025655,pee issues
C1265611,amount
C0332219,easy
C0037179,single
C0441471,event
C1548795,live
C0870628,guess
C1610166,wait
C0332271,worse
C0331584,agave
C0344315,miserable
C0018684,health
C0332152,prior
C0870238,buy
C1947930,clean
C0175566,open
C0039457,phone
C0015671,father
C1719958,push
C0011065,died
C2825407,half
C2584314,throw
C0870663,honest
C0016770,frustrated
C0039409,tears
C1031756,idea
C0027497,nausea
C0205082,severe
C0442821,strong
C0017095,refuses
C0332302,brought
C0015450,face
C0004309,listening
C0205102,inside
C4526583,yesterday or today
C0545082,visit
C0018408,guy
C0439810,total
C0031809,physical
C0006939,car seat
C0004268,attention
C0558261,terrified
C0596545,experiences
C0011900,diagnosed
C0745777,lost
C0580846,pulled
C0337527,brother
C0184666,admitted
C1272691,stopped
C1883702,extra
C0199168,medical
C4048877,dinner
C2348205,similar
C1521827,prepared
C0270724,plan
C0221074,postpartum depression
C0205246,general
C0011008,date
C0332147,question
C0035647,risk
C0205314,new
C1282927,short
C1272693,ended
C1512612,ideal
C0019421,straight
C0038351,stomach
C0682295,full time
C0543488,interested
C0023185,learned
C0425583,heartbeat
C0002957,angry
C1518601,option
C0733755,position
C3887804,upset
C1269909,moved
C1553387,hold
C0021672,insurance
C0750541,apparently
C0332218,difficult
C0150391,telling truth
C0442603,office
C1137023,basica
C0424324,fight
C0006141,breast
C0237506,chance
C2828386,passed
C1301808,state
C0439780,forward
C0683607,allowed
C0425251,stuck bed
C0013126,drive
C0237433,pediatrician
C1881704,break
C0205172,more
C2700280,world
C0036658,sense
C0032914,pee
C0681108,maternity
C1547282,show
C0039798,therapy
C0026821,cramping
C1708320,handle
C0036572,fit
C0521319,boyfriend
C1272688,progress
C4087029,nice
C0041427,twin
C0443052,rushed
C0700124,dilated
C3898777,important
C0023693,light
C0441469,pictures
C0016249,floor
C0038894,surgery
C0011570,depression
C0205251,low
C0054057,brining
C3489511,amazingel
C1522166,worst
C1444648,offered
C0456387,class
C2669519,beautiful jay
C0871703,conversation
C0032074,planning
C0205272,regular
C0042963,vomiting
C0043094,gained weight
C0522510,intense
C0085092,parenting
C1705648,dropped
C0566217,ask questions
C0013956,emergency
C0032982,trimester
C0563597,momentum
C0597535,successful
C0007874,cervix
C0243107,development
C0444706,measuring
C0012634,condition
C0015392,eye
C0205094,front
C0231748,giving way
C0032854,poor
C0025266,man
C0683368,symptoms
C2987508,feed
C0042232,vaginal
C0012984,dog
C0309872,prevent
C2240273,hug
C0009253,sex
C2699424,concerns
C2947954,perfect coat
C3538928,typical
C0006002,book
C0000786,miscarriage
C0857342,looked pale
C0332296,free
C0221457,teacher
C3827501,watching tv
C0330844,crazyweed
C0733348,pitocin
C0008300,choice
C0205087,late
C1184743,process
C0439834,slowly
C0205156,previous
C2825543,due date
C0224086,belly
C0001779,age
C0237753,number
C0005823,blood pressure
C0439219,pounds
C0032043,placenta
C0030695,monitor
C0009566,complications
C0460089,weeks pregnant
C0683278,suffering
C1420522,fact
C3898897,helpful
C0857105,feeling weird
C0206243,carrying
C0424585,tires quickly
C0010200,cough
C5201090,sudden
C0028109,nipples
C4723682,uck
C0027530,cervical
C0237886,sort
C0231218,feel bad
C0237820,recovery
C0018810,heart rate
C0006104,brain
C0036849,set
C1420726,top
C1273870,managed
C0001948,drinking
C0016504,foot
C0086418,human
C1514756,received
C1519021,personal
C0453447,sweet
C0521093,confirmed
C0023133,laugh
C0332290,consistent
C0027769,nervous
C4288074,uncomfortable showing scars
C0333328,recanalized
C4527432,barely any
C0870824,luck
C4086373,cried
C0018772,hard hear
C0870935,nap
C3641638,feel like man
C0004927,behavior
C0231175,failed
C4684764,safe
C0043266,write
C0227972,middle
C1301732,planned
C0015663,fast
C0871051,pay
C0018895,helper viruses
C0443252,long term
C1720529,constant
C0401816,broker
C0023216,leg
C0456962,quick
C0522501,massive
C3242050,notice use
C0557698,door
C0681455,life stories
C0011135,poop
C0700320,section
C0205132,line
C0332234,leaking
C0542277,cleaning
C0817096,chest
C0439550,afternoon
C0870705,information
C0581528,close watch
C0004379,driving
C1706079,arrived
C0444930,ending
C4316940,enjoyed
C0335326,cooking
C0334910,anesthesiologist
C1310585,comfort
C0750482,slightly
C0556449,dealing drug
C0205555,special
C1314939,involved
C0272285,hit
C0036974,shocked
C0233569,wandering
C0179196,bag
C1546466,problems
C2362652,possibly
C0557652,bedroom
C0030318,panic
C0020517,sensitive
C0023150,laws
C0522165,calm
C0233927,suck
C0454664,country
C0042655,video
C0470166,message
C0205547,routine
C0457933,apartment
C0425105,back work
C0935572,stalked
C0026175,mine
C0595998,lives
C0205234,focus
C0441833,group
C0544691,hanging
C0085159,sad
C0587117,evening
C0017446,area
C0005889,fluid
C0557653,kitchen
C1705535,suggest
C0034606,scan
C0042149,uterus
C0037361,smell
C0000925,cut
C0087111,treat
C0009264,cold
C0750591,considered
C0205407,loose
C0242821,figure human
C0015733,crap
C0003241,antibodies
C0394996,drink
C0205177,active
C0001675,adult
C0150141,bath
C3828422,quite concerned
C0205160,negative
C0849355,removed
C0226896,mouth
C1517001,expected
C0019857,birthing home
C1698986,store
C0332239,young
C1998882,occasionally
C0035028,relax
C0019932,hormone
C0558277,holding room
C0180153,cover
C3280240,meds
C0022107,fussiness
C0456389,size
C0871525,therapist
C0182555,punch
C0683757,company
C0021485,shot
C0150593,game
C1550016,clear
C0040802,travel
C0020175,hungry
C0234422,awake
C0441468,picture
C0332158,contact
C1706817,answer
C2987125,last week
C0205369,specific
C0522336,eye roll
C0233730,swearing
C0026399,momsv
C0016884,future
C0233926,kissed
C1550543,meet
C0243163,supply
C0333051,shift
C0009462,community
C0005603,birth history
C3641827,agree
C3245505,potential
C2698559,breakfast
C0871208,rate
C1272684,accept
C1261552,step
C0743559,mistake
C0010317,crib
C0991568,drop
C0040822,shaking
C0205341,repeatedly
C0237935,trust
C0150103,matched
C0308779,deliver
C0521116,current
C0179330,blanket
C1551377,holder
C0205173,double
C1373200,order
C0443299,separate
C0085936,business
C0438916,stroller
C0683608,let letting
C1830412,laundry
C1705241,difference
C0003232,antibiotics
C1274040,result
C0205099,center
C0163712,related
C0150768,shopping
C0009676,confused
C0162388,killing
C0444099,skin
C0728831,social
C1524062,additional
C0324145,ass
C0085639,fall
C0332183,frequently
C0521114,occasional
C0871010,opinion
C0582093,wanting die
C0038659,suggestions
C0034656,random
C0000921,falling
C1704243,bigger
C1516084,attempt
C0596013,stand
C0205107,neighbor
C0205344,absolute
C0040607,training
C2697949,lunch
C0019664,history
C0678804,prenatal
C0205296,natural
C0152054,touch
C0025353,mental health
C0332156,return
C0013117,dream
C1518904,party
C4053772,putting shoes
C0241301,summer
C0018173,grant
C0184661,procedure
C0205214,common
C0424589,energy
C0039401,teaching
C0018494,hair
C0013621,learning
C0441994,lower
C0337471,grandparents
C0007776,grey matter
C2346843,appreciation
C0000924,accident
C2700434,fun 1
C2584313,discuss
C1707455,compared
C0439583,overnight
C1883067,space
C0680199,vacation
C0599156,transition
C0013140,drought
C0234856,speak
C0035168,research
C1514873,required
C0332273,through
C0302148,clots
C0033175,private
C0439844,covered
C0521108,recovering
C1517945,loss
C0600080,stretch
C0037088,finding
C0681211,wedding
C0920381,1 year old
C0348011,transfer
C0205653,teenager
C0009237,coffee
C0030705,patient
C0009450,infection
C4531022,breaking out
C0026649,movement
C0205225,main
C0332167,high risk
C1522508,details
C0858972,baby sleep
C0184958,toilet
C1519246,send
C0277786,complaint
C0184967,packed
C0030797,pelvic
C0039224,table
C0556656,meeting
C0332232,about
C1998602,meals
C0441722,force
C0242295,supplement
C0205392,some
C0042034,void
C1708059,filled
C0939793,bitch
C0681405,preschool
C0037004,shoulder
C0231297,stressful
C0376675,poster
C1602144,xpect
C1516931,easi
C0679133,respect
C0013604,swelling
C0079399,gender
C0686904,needing
C0557033,reminded
C0067813,amn
C0332288,without
C0205265,initially
C0748223,quit
C0028263,noise
C0205208,solid
C0043240,healing
C4042845,net worth
C0566528,expectorating
C0441516,demanding
C0441648,wash
C0421451,birthdate
C0231617,catch
C0339897,tips
C3275158,helpin
C0040565,toys
C1527021,text
C4724388,ful
C5233700,few words
C0028659,nursery
C2936640,doula
C0178602,dose
C0002808,anatomy
C0544726,hole
C0745732,list
C2982836,piece
C0241158,scar
C0019557,broken hip
C0750503,around
C0150369,monitoring
C0015259,exercise
C0020913,imagination
C0205423,confident
C0016129,finger
C0231472,standing
C1670743,tonna
C0557750,town
C0700385,creamed
C0035201,resources
C2239669,miss
C0871489,team
C0439801,limited
C2584321,reach
C0018235,grief
C4086491,desperate
C2717862,beekeeping
C1511572,cycle
C0682294,part time
C0205390,stage
C0725066,advance
C0206655,arms
C1705822,delivered
C0675390,held
C0678227,causing
C0458075,healthy baby
C0011991,diarrhea
C3921985,carynota stupida
C0439654,quiet
C0038846,lying
C0087009,specialist
C0871261,response
C0038999,swollen
C0079463,grateful med
C0557702,window
C0021359,infertility
C0442818,raised
C0025646,met
C3830000,gds01 wonderful be alive
C1214169,freak
C0037363,smile
C0179231,bassinet
C0337606,babysitter
C4086868,stayed same
C0678341,responsibility
C1527178,based
C0015967,fever
C0086282,family members
C1261512,attack
C0038969,suture
C0235146,emotionally high
C0521112,bedtime
C0077275,trip
C0574459,lol
C0007004,sugar
C0678568,cool
C0181209,hooked
C1317574,note
C0008848,city
C0677049,sucks
C0332283,follow
C1019325,tiny hawk
C0336779,machine
C1550235,cord
C0017110,gas
C0871981,joke
C1551393,missing
C0004448,aware
C1706910,ball
C0312416,morning sickness
C0679924,professional
C0294099,wil o dont
C0332287,with
C0814225,benefits
C0023759,lipped
C0557662,downstairs
C1170730,wake up
C1833334,early onset
C1706907,background
C0015965,fetal
C0205224,essential
C0086593,maternity leave
C0042789,sight
C0288501,aolept
C1622979,laying
C4288071,unexplained
C0231290,after
C0015127,caused by
C0205276,local
C0598853,forget
C0683807,childcare
C0233324,term
C0996882,pink ladies
C0009967,cope
C0001807,aggressive
C0677535,wall
C0423086,staring
C0681088,coworkers
C2987476,being
C0557806,college
C0085104,system
C0444519,hot
C0037386,snowing
C0039593,testing
C1266853,fiance
C0002630,amniotic
C0039070,faint
C0871598,warning signs
C0038492,student
C0182291,pillow
C1262477,lose weight
C4213565,figura
C0220912,signs
C0042649,video games
C0030172,pacifier
C4743675,impossible
C0332522,contracting
C0325407,booby
C0018681,headache
C1442458,half hour
C0233558,tantrums
C0022876,early labor
C0016204,gas passing
C0453863,snacks
C0018270,growth
C0030685,discharged
C1294197,nucleic acid sequencing
C0010186,cost
C1548564,refused
C1425660,fell
C0557778,grocery store
C0279380,mad
C0557061,discussion
C0680022,members
C1420816,thank
C0879140,wipes
C2981730,account
C0332268,lack
C0681169,god
C0439539,heavy
C0016701,frozen
C0008861,citrinin
C0557854,service
C0687712,warm
C0039717,cloth
C0004352,autism
C0007457,white
C0009806,constipation
C0004582,swing baby
C1707719,switch
C0037369,smoking
C0678367,public
C0342895,fed
C3668932,growing pig
C0870494,encouragement
C0337580,cousin
C0042036,urine
C1553423,respond
C0030054,oxygen
C1136188,gifts
C1511276,bottom
C1705492,missed
C0181904,monitors
C1706059,finish
C4724961,online mbsr
C0179847,chair
C0392366,tested
C0042210,vaccines
C0004578,baby boom
C0182158,pad
C0025360,ill mentally
C3640015,hurting pain
C0019843,holiday
C0521095,determined
C0309049,favor
C0332490,round
C1280500,effects
C0020052,household
C1187759,live forever
C0025874,spotting
C0011212,delivery room
C0332663,traumatic
C0014406,environment
C1519814,update
C0332159,hitting
C0024109,lung
C3179065,social media
C0040426,teeth
C0439671,gestational
C0017262,expressed
C0080101,regret
C3714578,attached
C0085142,birth center
C0205421,delayed
C0232908,conceived
C0015895,fertility
C0225386,breath
C0012621,discharge
C0014518,ten
C0453893,pants
C4048294,preterm baby
C0033774,itching
C0205125,deep
C0348054,taught
C0028084,nightmare
C0130031,4 mess
C0205202,corrected
C0034927,referral
C0230779,rough er
C0002860,add
C0684224,report
C0242724,leaves
C0419511,first walked
C0067518,naps
C0332311,with time
C0449379,connection
C0453880,underwear
C0006826,cancer
C0086769,panic attack
C0043084,weaning
C0335567,hardener
C0580841,pushes
C0180231,cup
C0700589,birth control
C3242379,assumed
C0344353,vegan
C2371613,socialize
C0012828,divorce
C0037949,spine
C0443351,wear tear
C0011710,doc
C0439204,inches
C0557661,upstairs
C0012155,diet
C0311392,sign
C0282574,intellectual product
C1266099,settle
C0449445,approach
C0026727,mucous
C0442808,increasing
C0557392,home work
C0002424,clinic
C0179400,box
C0013935,embryo
C0030351,paper
C0175730,tube
C1708659,latch
C0018837,heats
C0574418,sat
C0022423,judgement
C0332172,midnight
C0423899,bright
C1009574,mum
C0282111,internet
C1140100,dxplain
C0040861,triage
C0331498,couch grass
C0041674,unemployment
C1548966,exclusive
C0242798,shut
C0885503,human breast milk
C0376243,financial
C0680226,argument
C0030736,peanut
C0205544,cancelled
C1882038,naturally worn
C0183185,screen
C0002638,amniotic fluid
C0333275,bloody
C0178534,career
C0686900,request
C0453926,dress
C1881839,million
C3639723,rdq stay at home
C2004150,caretaking
C4086493,furious
C0040407,ton
C0232483,reflux
C0042939,voice
C0004604,back pain
C0336603,hospital bed
C0020538,high blood pressure
C0000726,abdomen
C2347387,official
C1517378,gain
C1704710,pack
C0359589,provide
C0376691,program
C0004910,bed rest
C0652783,gladma
C0205313,original
C0040594,track
C0851286,staff
C1547706,building
C0085593,chill
C0231174,failure
C0679138,expectations
C0439218,ounces
C0231335,childhood
C0205329,progressing
C0205103,between
C0013146,abuse
C0027569,neighborhood
C0337474,grandmother
C0150499,caring
C4763454,busy
C1053335,lady pink
C0021162,income
C0021400,flu
C1301771,relieved
C0561942,climbing
C0003062,animals
C0948106,water break
C0205252,premature
C0237881,significant
C0871599,warning
C0521320,girlfriend
C1513302,mild
C0018941,blood test
C0027551,needle
C0870209,blame
C4321503,feel mad
C0232488,colic
C0205238,true
C0681495,movie
C0028429,nose
C1947931,directly
C0814630,affordability
C0025361,thought process
C0001795,oldest old
C0870861,grow up
C0033011,pregnant women
C0156543,abortion
C0443286,reaction
C0543467,surgeries
C0332575,red
C0022645,kidd blood group system
C1292748,introduce
C0439816,tight
C0459920,ideas
C0205430,mixed
C0994475,pills
C1705242,different
C0025371,menu plans
C0558266,eats regularly
C0444504,mean
C0015230,rash
C2699569,decimemide
C0017296,genetic
C1510992,average
C0205543,refer
C0010957,damage
C0086504,kickback
C0337572,youngest son
C0282443,reviews
C1282914,surrounded
C1533716,info
C0232515,spit
C0178733,loud
C0038317,steroid
C0036608,dna selfish
C0152060,cutting
C0449243,timing
C4082118,two weeks
C0442805,increase
C1273518,responsible
C0330333,poke
C0376554,knowledge
C0237897,strength
C0580939,conscientious
C0005899,rocking
C0750519,while
C3853089,pretty good
C0231303,distress
C0439820,popped
C0231448,extended
C0037047,siblings
C0332154,treated
C0585023,days week
C0013268,ducked
C0205195,combined
C0021272,baby care
C0009818,consult
C2700214,friendly
C3505578,painaid
C0028778,block
C0336616,towel
C0023668,lie
C0335333,waiter
C0035255,restaurant
C1880177,contribute
C1705176,ordered
C0007294,carrier
C2986711,paperwork
C0085732,ability
C0037366,smoke
C1547189,fair
C0332582,dark
C0453985,button
C0441655,activities
C1705313,word
C1880355,discover
C1706582,stick
C0018464,habits
C0184532,dying
C3831015,convenient
C1300196,organized
C0032930,trigger
C0084136,postin
C0542559,setting
C0013109,drama
C0020043,home visiting
C0001721,affect
C0231170,disability
C0592503,brand
C0086388,healthcare
C0009170,blow
C0205217,increased
C0033080,prescription
C0017547,giant
C0013849,email
C1280014,faulty
C0871222,reality
C0011847,diabetes
C0019552,hip
C0013443,ear
C0005612,weight baby
C0393761,night waking
C0032976,pregnancy test
C0683283,disgusting
C0022742,knees
C0010210,counseling
C0337490,motherhood
C2364135,discomfort
C0023974,lonely
C0184511,improve
C0004135,ate
C0011682,dry
C4055020,fairly bad
C0281594,hd during pregnancy
C0680220,majority
C0332479,shaped
C0441587,inserted
C0220825,evaluation
C0205394,other
C3831191,car ride
C0310255,survive
C0026867,music
C0005802,blood sugar
C1706214,create
C0025663,method
C0004271,attitude
C0205352,simple
C0679111,resentment
C0034869,record
C0582552,unable reason
C1880497,empty
C0007366,cat
C0001861,air
C0750480,count
C3640009,annoying pain
C0683579,scenario
C1456647,shots
C0009393,color
C1138603,provider
C0455212,showing emotion
C1521805,opposite
C0036245,savings
C2347840,save
C0036988,shoes
C3489408,hospital stay
C0329155,spot
C0085590,catheter
C0033684,protein
C0392760,affected
C0522498,rarely
C0018017,goal
C0337525,younger sister
C0680443,peace
C1504996,hb die
C0439806,gross
C0439815,touching
C0599395,high school
C1419257,ran
C0013144,sleepy
C0018896,assistance
C0005680,black
C0007961,charge
C0332189,episode
C1301676,relieve
C0302908,fluids
C0027740,nerves
C0013710,egg
C0410104,pump bump
C2984974,aucalls
C0566415,unable
C0021853,bowel
C0425382,adopted
C0481667,live birth
C3897159,worried about weight
C0449911,view
C0036043,safety
C0024940,mattress
C0233820,insight
C0439511,times day
C0021107,placement
C0021822,interview
C1719886,until finished
C0221189,jumping
C0424612,chubby
C0231226,exhausting
C0039437,teething
C0041638,umbilical
C0855247,attack sleep
C0556973,mins day
C0009817,consultant
C2945608,boring
C0453917,shirt
C0681442,short story
C0442650,road
C0002903,anesthesia
C0085862,independent
C0278329,prescribed
C2735360,birth plan
C0007968,cheese
C4055383,biggest problem
C0007452,bulls
C1366464,fix
C0348078,form
C0036938,shame
C0024861,mask
C0233571,excitement
C0562019,dollars
C0220870,headed light
C0001969,drunk
C0677453,cigarettes
C0588053,graduated
C0582101,talking about dying
C0002658,speed
C1522154,informed
C0008051,chicken
C0033308,progesterone
C0237553,dating
C0037016,shrew
C0332157,exposed
C0034975,registry
C1116171,vaccinated
C0001962,alcohol
C0870371,cravings
C0205360,stable
C1444754,length
C0018834,heartburn
C0009671,conflict
C3594082,delias surprisa
C0423896,content
C0683798,laid off
C0023008,language
C3257864,voice makes me feel handicapped
C1516048,assessed
C0458083,hormonal
C0080103,relatives
C0192456,feedings ng
C0024501,maintain
C1875695,pro cute
C0087086,blood clots
C1721468,grandio
C0562547,park
C0016767,fruit
C1883357,together
C0420843,get pregnant try
C0724139,urised
C0234880,baying
C0034386,quarantine
C1264641,percentile
C0558295,preferred
C1419209,grab
C0337576,aunt
C2937255,hours sleep
C0005658,bite
C0582103,exam
C1306056,worker
C3830397,doze or fall asleep
C0331865,miles
C0332261,spread
C0004704,balloon
C0019112,pile
C0870365,courage
C0578694,kicking leg
C0026845,muscle
C0006622,chocolate
C0332464,wide
C0557130,live with family
C1555307,promise
C3665704,crie
C5204633,first time seen
C0392917,afterbirth
C0270814,stretches
C0085207,gestational diabetes
C0684320,regression
C0870444,doubt
C1999230,provided
C0032167,plastic
C0051767,dads
C0457226,effaced cervix
C0335141,manager
C0206244,lifting
C0009622,computer
C1553467,card
C0425152,engaged
C0086530,lawyer
C0600138,played
C0424159,fear appearing ridiculous
C4744572,feel disappointed or sad
C0026516,mood
C0870077,rules
C0558380,emergency cesarean section
C1721104,breaks dna
C0805586,challenge
C0015677,fat
C1417890,numb
C0443224,fresh
C0332579,livedo
C0205324,flat
C1280519,effective
C2985348,natural birth
C0029965,ovulation
C1285529,purpose
C0080194,strained
C0001578,teenage
C0002771,painkillers
C0043418,yoga
C1272683,requested
C0014586,episiotomy
C0037633,solution
C0023449,all
C1635178,crawling
C0009938,bruised
C0263634,flesh proud
C0001554,management
C0221188,trips
C0445269,socks
C0205154,edge
C3245461,with issues
C4291661,opportunity scoring
C0449851,technical
C0000936,focusing
C0452597,cake
C1555586,rent
C0003798,arm
C0557128,live with friends
C0681406,kindergarten
C0080045,price
C0600108,walks
C0008301,choking
C0183753,swabbed
C0555049,husband left home
C0031222,hired
C0020746,ice
C0040226,time perspective
C0205540,approved
C1514721,range
C0301630,reduction
C0034634,rage
C0418406,head butt
C0233308,broken waters
C0560435,skip
C0006347,budget
C0600116,talks
C0444454,access
C0231246,gaining weight
C1177045,snapped
C0909681,didntb
C0036497,season
C4288057,support friends family
C0205381,wet
C1710394,thread
C0021619,instinct
C0972401,board
C0723457,stopping
C3154172,rest simply
C0022646,kidney
C0430551,photos test
C0001241,acting out
C0231242,complicated
C0231435,mobile
C0332306,quality
C0205090,right
C1546400,labor delivery
C0870427,disappointment
C0677601,counter
C0175738,freezer
C0522473,with contraindication
C0026193,minor
C0516943,patience
C4508963,change diaper
C0242485,measurements
C0205355,permanent
C0026606,activity
C0442514,hotel
C4169658,convivina
C0205357,smooth
C0442658,street
C0920688,cancer diagnosis
C0596012,reaches
C0031354,throat
C0336648,alarm
C0243510,tillam
C0035150,reproductive
C0302611,bumpers
C0337026,blasted
C0221191,judge
C0282069,avian bills
C0024875,massage
C0002766,pain management
C1524031,minimum
C1442989,standard
C0204558,reassurance
C0032863,power
C0517101,balls kicked
C1546425,credit
C0585022,during day
C0022346,jaundice
C1421225,tub
C0349482,big baby
C0278182,light sleep
C0205081,moderate
C0017596,glass
C3273800,chore
C0149931,migraines
C0749734,tuck tummy
C0559956,replace
C0436331,exacerbated
C0042221,vacuum
C1826596,tech
C0239059,cigarette smoke
C0452428,drinks
C0241737,winter
C0085098,police
C0595939,stillbirth
C0441472,action
C0042196,vaccinations
C0474368,laboring pain
C1519316,signed
C0557055,reassuring
C1879655,corner
C5205793,swing
C0043251,trauma
C0014724,burp
C0006042,bottle feeding
C0178499,basic
C0333052,version
C0497429,fear being pregnant
C0022417,joint
C0009458,media
C0443211,establish
C1554079,ignored
C0558270,lactation consultant
C3829741,feel like crying
C0806140,flow
C0000912,fire
C0037046,sibling
C0024492,mail
C1556156,calories
C0031843,function
C0178572,court
C0205309,familiar
C0302828,instructions
C0016858,furniture
C0024467,magnesium
C0680989,earned
C0205101,outside
C0205358,soft
C0678856,skills
C0557759,farm
C0221205,yellow
C4518531,has boss
C4055646,unexpected
C0524637,recognition
C4054980,felt like failure
C0449738,direction
C0425315,smoking started
C0556974,hours day
C0337209,slipped
C0007757,cereal
C0681477,program announcement
C0039371,tax
C0087130,unsure
C1709701,project
C0026605,motivation
C4209064,mama
C0008972,study
C3827964,specimen weight measurement
C0010963,dance
C0497406,overweight
C0028758,bonding
C0443288,restricted
C0337578,niece
C4553547,made you feel comfortable
C1550518,incapable
C0337548,grandchild
C1510670,feeds
C0204774,soaked
C0878615,ck raising
C0205413,spotty
C0967918,panasinsane
C0024460,magic
C1283828,intended
C0079809,measure
C0001899,alt
C0026505,monster
C0425111,works away from home
C3665386,cannot see properly
C1883016,session
C0309195,grade
C0474460,labor start
C2584946,alive
C0012833,dizzy
C0036397,science
C0013142,drowning
C0750572,estimated
C0178647,friendship
C0588436,monitored self
C0025048,mas
C0332282,subsequent
C0443289,reveal
C4683689,parking
C0245203,appt
C4330004,forget things
C0005682,bladder
C0418832,patient advised
C0002422,ambulance
C0326303,lovely cotinga
C0086247,ergot
C0025664,techniques
C1832073,handling
C4726337,fac062 i get annoyed easily
C2987511,feel sad
C0231530,jerk
C0021294,preemies
C0237220,abusive behavior
C0681205,sacrifice
C0038215,statistically
C0003289,antidepressants
C1138831,gene ontology
C0039336,taste
C0014653,balance
C0017725,glucose
C0036864,sexual
C0011175,dehydrated
C0011892,junk
C1547116,department
C0679054,chunk
C0079112,child support
C0546881,tracking
C1254351,product
C0008069,child custody
C0453704,nut dishes
C0424531,funny turn
C4330194,hard sleep through night
C0205157,remote
C0000768,birth defect
C0004897,bear
C2828360,cross
C1539997,ted
C0037384,snoring
C2634764,strangea
C0728938,partial
C0720654,gentle
C0009413,colostrum
C0376649,address
C0333133,mucus plug
C0876919,meaning
C0059927,exact
C1688635,unhappy
C0424424,refusing food
C0814423,accessibility
C0337579,nephew
C0699726,offender
C1305702,ward
C0079613,act
C0402656,nanny
C1615608,pandemic
C1335632,rock i
C0024809,weed
C0039003,swimming
C0010453,culture
C0557668,landed
C0009452,communication
C0547040,minimal
C0016163,fishes
C0013119,dressing
C0455085,preparing skin
C0013113,draw
C1704258,abnormality
C0025611,crank
C0332285,within
C0262950,bone
